	i1_t01	i1_t02	i1_t03	i1_t04	i1_t05	i1_t06	i1_t07	i1_t08	i1_t09	i1_t10	i1_t11	i1_t12	i1_t13	i1_t14	i1_t15	i1_t16	i2_t01	i2_t02	i2_t03	i2_t04	i2_t05	i2_t06	i2_t07	i2_t08	i2_t09	i2_t10	i2_t11	i2_t12	i2_t13	i2_t14	i2_t15	i2_t16
snp_001	-1.2990474475092	0.00462931928196172	-0.873476309091245	-0.178974442432582	0.350072011884834	-0.701603289199405	0.578110576444126	-1.98375778278299	1.12385179563384	-1.06890318518992	0.664648875845027	-0.504652468156575	-0.0610835542234036	-1.06331844949757	-2.00160309743883	-1.34715439084897	-0.442871310903165	0.969053269898166	-0.497871976461031	-0.669436807818164	-0.623578067666271	-0.480118366819781	-1.27565512943619	0.264015624176847	-1.54063402209882	-0.482438590410007	0.4460526794949	-0.679273081985922	-0.549573919824931	-0.44741217936598	1.09275551703613	1.11539053262996
snp_002	-1.87684461511351	0.216138289906772	-0.293535256859363	0.879502746867735	0.767303531196567	0.276024410953126	0.796478261547752	1.84685658902148	-0.357920402394358	0.415592226784531	-0.207142676058008	0.374120935319911	-0.778258622828679	0.979699769019391	-0.331956238952044	0.867111363912334	0.832109948699587	-0.658625934133759	-0.532442562308364	0.553895104048803	-1.0244731059985	0.236302416071671	-1.3294986175457	0.721089830156045	0.0740958552628525	0.886655279196268	-1.15029575321264	0.672392739963205	-1.66465605400745	-0.844929425358418	-2.18284017628241	0.493371591101349
snp_003	-0.238652109375405	-2.15924840829049	0.192695048766444	0.378713760197406	-0.184516266175967	0.784873934764152	1.19580683283504	0.964319673690933	0.615079645974258	0.429609239786069	0.099511691113972	1.67189461012799	-0.101962442019563	0.771636430529048	1.14304271646501	-0.837992596792605	-0.868917938571878	1.3553459395647	-0.452293948552873	-0.831921987491721	1.13327363975921	0.0791234892377926	-1.13696012786276	-1.18302898813566	0.512211016682053	-1.16891516917599	0.642708330170592	-0.532052589301876	-0.0716043973683449	-0.197260738517051	-0.689297480264948	-0.644735235855078
snp_004	-1.34403275898856	0.80031524928478	-0.555146488611719	-1.06166809772563	-0.297276444067296	0.448786868318096	0.324558058252809	-1.22613463949663	-0.191068377977699	-0.550225035092627	-0.212491863348056	1.15003997565658	-0.818112274405789	-1.34362869095136	-0.920380156789167	-0.187866336307072	1.09404498788672	-1.58436558927144	-1.06422188189942	-0.196804071198297	-0.839539980734648	-0.0551272225370709	-1.27900277987997	-1.7372313796706	-0.552737195748222	-2.23298866596246	0.204735587064	-0.954327597438146	0.755456399776144	0.549175006401998	-0.889200341822073	1.98603570384821
snp_005	-1.23617901477465	-0.297824741915238	-0.378998247563682	0.864064169348797	0.314424466784467	2.23568888059625	0.163841539051632	1.2879249378798	2.07087813454971	-0.975357517665624	0.988909940753561	-2.38164162743572	0.0268677481860363	0.728833788393658	0.99850061910816	0.160194847690238	-0.130312892891162	-1.53926284821556	-1.10299948232716	0.223222618578788	-0.66179995341447	0.0136903207919512	-0.0654108434420935	1.12084819565238	0.01644784668907	0.465983257967131	-2.1881982623093	0.832275547592826	0.317306943840443	-0.973506864203781	-1.6450759225853	0.552138509512138
snp_006	-1.20963998637582	-2.92346975884584	-0.971259666464836	-0.341128473314338	-1.10087943605349	2.62890620964144	-0.0444029323770445	2.23819812370676	0.850359696392451	1.68368159313695	0.507656183141439	0.951017179477728	0.276670699516242	0.627946917932903	0.40107941716766	-0.405006170936925	0.287936986516911	-0.123332075682739	-0.816796863926045	0.416180748452444	-0.859578991343006	0.747850502987286	-1.89008684221633	0.397605632298151	-0.457257464811228	-0.176765963617766	-1.65475852271318	0.171532613499716	-0.987432763901269	-0.758504544051875	0.258663795832368	-1.05548142854126
snp_007	-0.268738798835078	-1.07903722582013	-1.27833338153211	0.0546252152090357	0.589646548578217	0.457324843767273	-0.182622615682127	1.39233512114084	0.282835014972703	0.634861417255408	1.44847614769567	0.905566361083667	-0.131543232815989	0.902577835431491	0.494230490241028	0.935957574984763	1.4393692625359	0.246258216258813	-0.847878871624961	-0.971366578706075	0.263994547500478	-0.23500778484095	0.0990485112809288	-1.41762906418511	-0.958353557001512	-0.259533123522047	-0.811290582657613	-1.4088879858916	-1.36820150892922	-0.925454135288227	-0.340476463807725	-1.01092117490731
snp_008	-0.601982738312409	-0.686185283494984	-0.774771665635592	-0.749367158183746	0.330052794280087	-1.03782275104868	1.94104184796794	-1.24758875764384	3.00418801973677	-0.3097013256208	1.39442004817454	-0.383688418334304	1.84090555667724	-0.0956985807094326	0.00215085731904832	1.92836757326798	1.41781154803615	-0.588303700099803	1.61063611945382	-1.00687706925749	-0.953298373061981	-0.746595748260654	-1.56481333218573	0.245089180871653	-0.829883473790534	-0.778657408593945	-0.099307134184966	-0.798959113069258	-0.337452080574292	-0.0524708672245804	0.408417813780166	0.149396391254053
snp_009	-0.582966815624011	-1.22095991563797	-0.539745188331588	0.0909250393326807	1.75368040139264	0.00683020236991672	-1.02583892270531	1.47669458619033	0.751327801496625	0.59588195552469	-0.665835291152495	1.59943861210683	1.12662287304326	0.635120787256173	-0.346564435609916	1.06628393049381	0.25130198808417	-1.87546600634115	-0.273129159762072	-1.67796153049771	-1.05443276262441	0.634213117239915	0.381378687742988	0.503930470992321	1.42842107337332	-0.373465597317648	0.518163645004146	-1.23307356822426	-0.381411750911198	-1.25698818660715	-0.0166356787710117	-0.570215783107193
snp_010	-0.285479708882349	-0.390167269535518	-0.537999546619851	-0.59899758337823	0.205735124561061	-1.04433451723356	-0.0621374005531108	-1.44374384132967	0.4065979790462	-0.418704744777444	-0.202284085629556	-1.08433080912593	0.0118611500521805	-1.09790875457395	-2.26805308427971	-1.45603864445523	-1.32151121698068	-0.376870373500861	-0.816135058027334	-0.996190688649616	-0.545067818902388	-1.46120918476613	0.316923023362115	-1.61349749201878	0.303538468449984	0.250282592903613	-0.752252138810054	-0.688137416853275	-1.3123937456455	-0.755098252174576	0.562529410083678	1.26442756071211
